idx,mean,median,min,max,starved,eaten,spawned,kwargs
0,1004.53,1006.41,510.77,1344.69,1105,524,1529,"{""charge_dist"": 104, ""sprint_zone"": 153, ""threat_ttl"": 22, ""spawn_energy"": 306, ""old_age"": 87, ""hungry_energy"": 374, ""crowd_dist"": 65}"
1,1005.08,1037.1,542.53,1384.35,1221,501,1622,"{""charge_dist"": 99, ""sprint_zone"": 161, ""threat_ttl"": 42, ""spawn_energy"": 389, ""old_age"": 68, ""hungry_energy"": 379, ""crowd_dist"": 48}"
2,1113.47,1072.65,700.35,1465.23,1322,598,1820,"{""charge_dist"": 98, ""sprint_zone"": 117, ""threat_ttl"": 26, ""spawn_energy"": 398, ""old_age"": 71, ""hungry_energy"": 386, ""crowd_dist"": 85}"
3,1038.65,996.33,792.19,1329.78,1215,548,1663,"{""charge_dist"": 89, ""sprint_zone"": 139, ""threat_ttl"": 26, ""spawn_energy"": 258, ""old_age"": 76, ""hungry_energy"": 370, ""crowd_dist"": 75}"
4,1032.47,1014.64,721.3,1377.3,1115,558,1573,"{""charge_dist"": 86, ""sprint_zone"": 145, ""threat_ttl"": 47, ""spawn_energy"": 320, ""old_age"": 94, ""hungry_energy"": 413, ""crowd_dist"": 98}"
5,973.69,931.94,646.45,1499.07,1047,447,1394,"{""charge_dist"": 93, ""sprint_zone"": 170, ""threat_ttl"": 50, ""spawn_energy"": 353, ""old_age"": 88, ""hungry_energy"": 316, ""crowd_dist"": 43}"
6,1063.92,1070.52,746.26,1627.97,1146,517,1563,"{""charge_dist"": 115, ""sprint_zone"": 101, ""threat_ttl"": 25, ""spawn_energy"": 342, ""old_age"": 95, ""hungry_energy"": 250, ""crowd_dist"": 79}"
7,987.13,1042.58,276.37,1338.97,1237,484,1621,"{""charge_dist"": 111, ""sprint_zone"": 142, ""threat_ttl"": 35, ""spawn_energy"": 323, ""old_age"": 59, ""hungry_energy"": 298, ""crowd_dist"": 98}"
8,1055.13,1034.95,659.49,1403.44,1135,471,1506,"{""charge_dist"": 94, ""sprint_zone"": 130, ""threat_ttl"": 29, ""spawn_energy"": 379, ""old_age"": 83, ""hungry_energy"": 273, ""crowd_dist"": 45}"
9,997.07,1004.59,746.57,1285.08,1183,470,1553,"{""charge_dist"": 100, ""sprint_zone"": 165, ""threat_ttl"": 51, ""spawn_energy"": 267, ""old_age"": 74, ""hungry_energy"": 391, ""crowd_dist"": 58}"
10,990.65,934.09,370.39,1355.48,1217,496,1613,"{""charge_dist"": 87, ""sprint_zone"": 170, ""threat_ttl"": 41, ""spawn_energy"": 378, ""old_age"": 68, ""hungry_energy"": 404, ""crowd_dist"": 75}"
11,1067.41,1072.32,622.11,1328.97,1218,475,1593,"{""charge_dist"": 98, ""sprint_zone"": 156, ""threat_ttl"": 25, ""spawn_energy"": 392, ""old_age"": 79, ""hungry_energy"": 331, ""crowd_dist"": 76}"
